
2024/01/19 (06:16:37) | ===> btop++ v.1.3.0
2024/01/19 (06:16:37) | WARNING: Failed to get disk/partition stats for mount "/mnt/emily" with statvfs error code: 19. Ignoring...

2024/01/28 (07:00:48) | ===> btop++ v.1.3.0
2024/01/28 (07:00:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/28 (07:00:48) | WARNING: NVML: Failed to get GPU power usage: No data
2024/01/28 (07:00:50) | WARNING: Failed to get disk/partition stats for mount "/mnt/emily" with statvfs error code: 19. Ignoring...

2024/01/28 (07:01:44) | ===> btop++ v.1.3.0
2024/01/28 (07:01:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/28 (07:01:44) | WARNING: NVML: Failed to get GPU power usage: No data
2024/01/28 (07:01:46) | WARNING: Failed to get disk/partition stats for mount "/mnt/emily" with statvfs error code: 19. Ignoring...

2024/01/29 (16:55:32) | ===> btop++ v.1.3.0
2024/01/29 (16:55:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/29 (16:55:32) | WARNING: NVML: Failed to get GPU power usage: No data

2024/01/29 (16:58:58) | ===> btop++ v.1.3.0
2024/01/29 (16:58:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/29 (16:58:58) | WARNING: NVML: Failed to get GPU power usage: No data

2024/02/03 (11:29:47) | ===> btop++ v.1.3.0
2024/02/03 (11:29:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/03 (11:29:49) | WARNING: Failed to get disk/partition stats for mount "/mnt/emily" with statvfs error code: 19. Ignoring...
2024/02/03 (11:29:49) | WARNING: Failed to get disk/partition stats for mount "/mnt/Multimedia" with statvfs error code: 19. Ignoring...

2024/02/03 (11:42:05) | ===> btop++ v.1.3.0
2024/02/03 (11:42:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/03 (11:42:07) | WARNING: Failed to get disk/partition stats for mount "/mnt/emily" with statvfs error code: 19. Ignoring...
2024/02/03 (11:42:07) | WARNING: Failed to get disk/partition stats for mount "/mnt/Multimedia" with statvfs error code: 19. Ignoring...

2024/02/03 (14:35:18) | ===> btop++ v.1.3.0
2024/02/03 (14:35:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/03 (14:35:20) | WARNING: Failed to get disk/partition stats for mount "/mnt/emily" with statvfs error code: 19. Ignoring...
2024/02/03 (14:35:20) | WARNING: Failed to get disk/partition stats for mount "/mnt/Multimedia" with statvfs error code: 19. Ignoring...
